price actual,generation fossil hard coal,generation hydro pumped storage consumption,price actual ewm,generation fossil hard coal ewm,generation hydro pumped storage consumption ewm
65.41,4821.0,863.0,65.41,4821.0,863.0
64.92,4755.0,920.0,65.16499999999999,4788.0,891.5
64.48,4581.0,1164.0,64.82249999999999,4684.5,1027.75
59.32,4131.0,1503.0,62.07124999999999,4407.75,1265.375
56.04,3840.0,1826.0,59.05562499999999,4123.875,1545.6875
53.63,3590.0,2109.0,56.3428125,3856.9375,1827.34375
51.73,3368.0,2108.0,54.03640625,3612.46875,1967.671875
51.43,3208.0,2031.0,52.733203125,3410.234375,1999.3359375
48.98,3335.0,2119.0,50.8566015625,3372.6171875,2059.16796875
54.2,3437.0,2170.0,52.52830078125,3404.80859375,2114.583984375
58.94,3516.0,2020.0,55.73415039062501,3460.404296875,2067.2919921875
59.86,3845.0,1183.0,57.7970751953125,3652.7021484375,1625.14599609375
60.12,4220.0,972.0,58.958537597656246,3936.35107421875,1298.572998046875
62.05,4404.0,922.0,60.50426879882812,4170.175537109375,1110.2864990234375
62.06,4256.0,941.0,61.28213439941406,4213.087768554688,1025.6432495117188
59.76,4038.0,1069.0,60.52106719970703,4125.543884277344,1047.3216247558594
61.18,4191.0,970.0,60.85053359985352,4158.271942138672,1008.6608123779296
64.74,4707.0,798.0,62.79526679992676,4432.635971069336,903.3304061889648
74.26,4756.0,1.0,68.52763339996338,4594.317985534668,452.1652030944824
74.24,4918.0,1.0,71.38381669998168,4756.158992767334,226.5826015472412
75.64,5025.0,0.0,73.51190834999085,4890.579496383667,113.2913007736206
73.92,5043.0,0.0,73.71595417499543,4966.7897481918335,56.6456503868103
70.53,4990.0,0.0,72.12297708749772,4978.394874095917,28.32282519340515
64.13,4942.0,0.0,68.12648854374885,4960.197437047958,14.161412596702576
64.02,1291.0,1290.0,66.07324427187442,3125.598718523979,652.0807062983513
58.46,1190.0,1996.0,62.26662213593721,2157.7993592619896,1324.0403531491756
54.7,1023.0,2698.0,58.48331106796861,1590.3996796309948,2011.020176574588
54.91,1016.0,3269.0,56.6966555339843,1303.1998398154974,2640.010088287294
53.07,1103.0,3267.0,54.88332776699215,1203.0999199077487,2953.505044143647
54.23,1120.0,3258.0,54.55666388349607,1161.5499599538743,3105.7525220718235
58.22,1167.0,3256.0,56.38833194174804,1164.2749799769372,3180.876261035912
67.55,1067.0,2987.0,61.969165970874016,1115.6374899884686,3083.938130517956
70.33,1098.0,2447.0,66.14958298543701,1106.8187449942343,2765.469065258978
71.26,1293.0,1907.0,68.7047914927185,1199.9093724971171,2336.234532629489
75.86,1339.0,938.0,72.28239574635924,1269.4546862485586,1637.1172663147445
73.65,1335.0,747.0,72.96619787317962,1302.2273431242793,1192.0586331573722
74.19,1336.0,864.0,73.57809893658981,1319.1136715621396,1028.029316578686
71.51,1341.0,906.0,72.5440494682949,1330.0568357810698,967.0146582893432
71.04,1354.0,1047.0,71.79202473414745,1342.028417890535,1007.0073291446716
71.24,1298.0,1491.0,71.51601236707373,1320.0142089452677,1249.0036645723358
70.64,1184.0,1975.0,71.07800618353687,1252.0071044726335,1612.001832286168
72.85,1047.0,1760.0,71.96400309176843,1149.5035522363169,1686.000916143084
82.55,1178.0,595.0,77.25700154588421,1163.7517761181584,1140.500458071542
83.33,1345.0,78.0,80.29350077294211,1254.3758880590792,609.250229035771
83.23,1354.0,68.0,81.76175038647105,1304.1879440295395,338.6251145178855
79.06,1348.0,68.0,80.41087519323553,1326.09397201477,203.31255725894275
76.2,1429.0,68.0,78.30543759661776,1377.546986007385,135.6562786294714
71.75,1432.0,68.0,75.02771879830888,1404.7734930036925,101.8281393147357
66.82,1798.0,502.0,70.92385939915444,1601.386746501846,301.91406965736786
63.35,1351.0,1048.0,67.13692969957722,1476.193373250923,674.957034828684
58.79,1258.0,1880.0,62.96346484978861,1367.0966866254616,1277.478517414342
57.44,1196.0,2441.0,60.2017324248943,1281.5483433127308,1859.2392587071708
55.29,1138.0,2767.0,57.745866212447154,1209.7741716563655,2313.1196293535854
56.22,1180.0,2953.0,56.98293310622358,1194.8870858281828,2633.0598146767925
58.13,1246.0,2744.0,57.55646655311179,1220.4435429140913,2688.529907338396
62.06,1175.0,2279.0,59.808233276555896,1197.7217714570456,2483.764953669198
